QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,DBH,BDS.2021,PIECE.2021,INTEGRITY.2021,DECAYCLASS.2021,GC.2021,HEIGHT.2021,TOPDIAM.2021,DBH.2021,LENGTH,ANGLE,DIRECTION,HOM,CODES.2019,PX,PY
989,90842,90842,FRPE,1.4,3.1,44.7,,,,,,,,,,,,1.3,DS,271.39999,83.1
993,90140,90140,PRSE2,4.9,6.5,24.2,,,,,,,,,,,,1.3,DS;MT,284.89999,26.5
1021,100104,100104,FRAM2,7.2,1.6,53.1,,,,,,,,,,,,1.3,DS,217.2,101.6
1021,100111,100111,LIST2,4.5,8.5,19.6,,,,,,,,,,,,1.3,DS,214.5,108.5
1031,100201,100201,FRAM2,2.8,4.2,43.4,,,,,,,,,,,,1.3,DS,222.8,104.2
1041,100432,100432,FRPE,5.7,2,55.9,,,,,,,,,,,,1.3,DS,235.7,102
1042,100453,100453,FRPE,6.8,1,58.2,,,,,,,,,,,,1.3,DS,236.8,111
1042,100462,100462,FRPE,1,1.7,44.3,,,,,,,,,,,,1.3,DS;L,231,111.7
1044,100500,100500,QUFA,5.3,5.3,59.8,,,,,,,,,,,,1.3,DS;MT,235.3,135.3
1046,100819,100819,LITU,2.3,3.2,50.5,,,,,,,,,,,,1.3,DS;Q;RS;CWD,232.3,153.2
1049,100856,100856,COFL2,0.1,3.8,10.9,,,,,,,,,,,,1.3,DS,230.10001,183.8
1052,100562,100562,FRPE,4.2,1,54.9,,,,,,,,,,,,1.3,DS;X,244.2,111
1056,100750,100750,CACA18,9.8,2.8,19.5,,,,,,,,,,,,1.3,DC,249.8,152.8
1061,100396,100396,FRAM2,4.6,2.3,58,,,,,,,,,,,,1.3,DS;L,254.60001,102.3
1062,100619,100619,FRAM2,4.6,4.5,34.4,,,,,,,,,,,,1.3,DS;X,254.60001,114.5
1071,100905,100905,FRAM2,9.3,2.8,54.2,,,,,,,,,,,,1.3,DS,269.29999,102.8
1071,100915,100915,FRPE,1,1.2,65.4,,,,,,,,,,,,1.3,DS,261,101.2
1072,100946,100946,FRPE,2.3,4.2,49.4,,,,,,,,,,,,1.3,DS,262.29999,114.2
1073,100987,100988,ACRU,2.6,4.2,15.9,,,,,,,,,,,,1.3,DS,262.60001,124.2
1073,100989,100989,FRPE,2.3,3.5,61.4,,,,,,,,,,,,1.3,DS,262.29999,123.5
1073,101212,101212,FRPE,5.6,6.9,41.7,,,,,,,,,,,,1.3,DS,265.60001,126.9
