QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,DBH.2019,BDS.2021,PIECE.2021,INTEGRITY.2021,DECAYCLASS.2021,GC.2021,HEIGHT.2021,TOPDIAM.2021,DBH.2021,LENGTH,ANGLE,DIRECTION,HOM,CODES.2019,PX,PY,Notes2021
171,10519,10519,LITU,0.5,5.6,86,,,,,,,,,,,,1.3,LI;MT,60.5,5.6,
171,10520,10520,FAGR,2,7.7,12.8,,,,,,,,,,,,1.3,LI,62,7.7,
172,10531,10531,FAGR,1.6,1,26.2,,,,,,,,,,,,1.3,LI;IR,61.6,11,
172,10532,10532,FAGR,2.9,1.4,21.2,,,,,,,,,,,,1.3,LI;IR,62.9,11.4,
172,10545,10545,NYSY,6.5,4.8,11.3,,,,,,,,,,,,1.3,LI,66.5,14.8,
172,10549,10549,FAGR,4.7,8.7,30.5,,,,,,,,,,,,1.3,LI,64.7,18.7,
173,10553,10553,FAGR,2,0.8,33.2,,,,,,,,,,,,1.3,LI,62,20.8,
173,10556,10556,FAGR,9.1,5.5,27.7,,,,,,,,,,,,1.3,LI,69.1,25.5,
173,10557,10557,QUVE,5.8,6.1,41.8,,,,,,,,,,,,1.3,LI,65.8,26.1,
173,10559,10559,QUAL,4.9,8.8,46,,,,,,,,,,,,1.3,LI,64.9,28.8,
174,10561,10561,LIST2,7.5,0.3,56.6,,,,,,,,,,,,1.3,LI;M,67.5,30.3,
174,10561,10562,LIST2,7.7,0.9,48.7,,,,,,,,,,,,1.3,LI;SEC,67.7,30.9,
174,10563,10563,ACRU,6.9,1.4,32.4,,,,,,,,,,,,1.3,LI;L;IR,66.9,31.4,
174,10565,10565,CACA18,8.8,5.6,17.1,,,,,,,,,,,,1.3,LI;P,68.8,35.6,
174,10566,10566,CACA18,3.8,9.2,14.3,,,,,,,,,,,,1.3,LI;L,63.8,39.2,
175,10568,10568,ULAM,5.3,1.3,38.8,,,,,,,,,,,,1.3,LI,65.3,41.3,
175,10571,10571,LIST2,3.5,6.8,61,,,,,,,,,,,,1.3,LI,63.5,46.8,
176,10573,10573,ACRU,4.7,1.5,32.3,,,,,,,,,,,,1.3,LI;MT,64.7,51.5,
176,10574,10574,ACRU,4.4,2.1,54,,,,,,,,,,,,1.8,LI;A;IR;L,64.4,52.1,
176,10575,10575,FRPE,3.5,2.7,44.9,,,,,,,,,,,,1.5,LI;A,63.5,52.7,
177,10578,10577,ACRU,3.5,4.3,26.1,,,,,,,,,,,,1.3,LI;MT;SEC;L,63.5,64.3,
177,10578,10578,ACRU,3.1,4.7,35.7,,,,,,,,,,,,1.3,LI;M;MT,63.1,64.7,
177,10579,10579,ACRU,4.6,4.4,26.3,,,,,,,,,,,,1.3,LI;MT;V50,64.6,64.4,
177,10580,10580,LIST2,9.3,8.2,37.6,,,,,,,,,,,,1.3,LI;V50,69.3,68.2,
178,10582,10582,ACRU,3.4,5.1,27.1,,,,,,,,,,,,1.3,LI;IR;L;CWD;XY,63.4,75.1,
178,10584,10584,FRPE,4.6,10,13.6,,,,,,,,,,,,1.3,LI,64.6,80,
