TAG,QUADNAME,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2014,BDS.2021,PIECE.2014,PIECE.2021,INTEG.2021,DECAYCLASSORIG,DECAYCLASS.2021,GC.2021,HEIGHT.2014,HEIGHT.2021,TOPDIAM.2014,TOPDIAM.2021,DBH,DBH.2021,LENGTH.2014,LENGTH.2021,ANGLE,DIRECTION,NOTES.2014
42549,1261,NA,CACA18,NA,NA,standing broken,,C,,,2,NA,,NA,NA,NA,NA,4.1,NA,2.5,NA,NA,,
42549,1261,NA,CACA18,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,5,NA,1.4,NA,NA,,
42549,1261,NA,CACA18,NA,NA,standing broken,,A,,,2,NA,,2.5,NA,5,NA,6.3,NA,,NA,NA,,
42637,1251,NA,CACA18,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,11.1,NA,8.1,NA,NA,,
42643,1251,NA,CACA18,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,4,NA,2.2,NA,NA,,
42646,1251,NA,LIBE3,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,stump sprouts
42706,1247,NA,LITU,NA,NA,standing broken,,A,,,2,NA,,16,NA,NA,NA,46.5,NA,,NA,NA,,no top
42802,1256,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,7.2,NA,,NA,NA,,
42835,1258,NA,CATO6,NA,NA,standing broken,,A,,,3,NA,,1.9,NA,19.7,NA,24.8,NA,,NA,NA,,
42835,1268,NA,CATO6,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,19.7,NA,2.3,NA,NA,,
42835,1267,NA,CATO6,NA,NA,standing broken,,C,,,3,NA,,NA,NA,NA,NA,18.2,NA,3.1,NA,NA,,
42841,1269,NA,UNKN,NA,NA,standing dead,,A,,,3,NA,,NA,NA,NA,NA,45,NA,,NA,NA,,
42929,1268,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,6.7,NA,3.9,NA,NA,,
43045,1274,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,5.1,NA,4,NA,NA,,
43110,1282,NA,COFL2,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,3.3,NA,3.1,NA,NA,,
43159,1286,NA,LITU,NA,NA,lying broken,,A,,,2,NA,,NA,NA,NA,NA,7.8,NA,2.2,NA,NA,,
43159,1286,NA,LITU,NA,NA,lying broken,,B,,,2,NA,,NA,NA,NA,NA,7,NA,2.6,NA,NA,,
43218,1291,NA,CACA18,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,7.5,NA,2.4,NA,NA,,
43223,1291,NA,CACA18,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,4,NA,,NA,NA,,
43231,1291,NA,UNKN,NA,NA,standing broken,,A,,,3,NA,,1.5,NA,30.4,NA,46.5,NA,,NA,NA,,
