QUADNAME,TAG,STEMTAG,SPCODE,PX,PY,PIECE,BREAKDOWNSTATUS,INTEG,DECAYCLASS,DECAYCLASSORIG,GC,HEIGHT,TOPDIAM,DBH,DBH.2017,NOTES.2017,LG.PX,LG.PY,SM.PX,SM.PY,LENGTH,LG.END.DIAM,SM.END.DIAM,CON.2014,CODES.2014,NOTES.2014,CORRXTREE,CORRYTREE,UTMX_TREES,UTMY_TREES
338,30279,30279,QUAL,3,1.5,A,Snag,C,1,1,NA,11,NA,17.2,16.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,23,271.5,438044.193,135865.997
339,30300,30300,CACA18,7.4,3.1,B,Log,F,4,2,G,NA,NA,11.7,NA,NA,8,3.1,1.5,3.1,2,11.2,8.9,LI,X,NA,27.4,283.1,438048.593,135877.597
339,30300,30300,CACA18,7.4,3.1,A,Snag,F,4,2,NA,0.7,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,LI,X,NA,27.4,283.1,438048.593,135877.597
343,30340,30340,ACRU,8.2,0.3,B,Log,F,3,2,G,NA,NA,27.3,NA,NA,NA,NA,NA,NA,11,25.2,16.8,DS,NA,NA,38.2,220.3,438059.393,135814.797
343,30340,30340,ACRU,8.2,0.3,A,Snag,F,3,2,NA,1.7,25.2,27.3,26.9,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,38.2,220.3,438059.393,135814.797
344,30359,30359,FRPE,8,3.5,A,Snag,C,1,1,NA,28,NA,52.8,52.8,NA,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,38,233.5,438059.193,135827.997
345,30383,30383,FRPE,0.6,6.6,A,Snag,C,1,1,NA,30,NA,56.9,57.3,SP=FRAM2,NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,30.6,246.6,438051.793,135841.097
346,30394,30394,FAGR,1.8,3.5,A,Log,C,2,1,NA,NA,NA,12.8,NA,NA,NA,NA,NA,NA,13,13.8,6.4,LI,NA,NA,31.8,253.5,438052.993,135847.997
351,30424,30424,QUAL,3.3,0.8,A,Log,NA,1,1,NA,NA,NA,NA,NA,NA,43.4,200.8,74,206.7,6.4,93.4,14.6,NA,NA,NA,NA,NA,NA,NA
351,30438,30438,LIST2,7,7,A,Snag,F,1,1,NA,6.5,NA,11.8,11.6,NA,NA,NA,NA,NA,NA,NA,NA,LI,X,NA,47,207,438068.193,135801.497
371,30528,30528,FAGR,2.7,4.4,A,Snag,F,2,1,NA,4,NA,37.9,37.8,NA,NA,NA,NA,NA,NA,NA,NA,DS,X,NA,62.7,204.4,438083.893,135798.897
3210,30606,30606,LITU,8.3,0.4,A,Log,F,4,2,G,NA,NA,NA,NA,NA,18.3,290.5,20.4,293.8,2,13,8.6,NA,NA,NA,NA,NA,NA,NA
3210,30606,30606,LITU,8.3,0.4,B,Log,F,NA,NA,NA,NA,NA,NA,NA,not found,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3210,30606,30606,LITU,8.3,0.4,C,Log,F,4,2,G,NA,NA,NA,NA,NA,22.7,297.7,24.5,299.8,2,11.1,9.5,NA,NA,NA,NA,NA,NA,NA
3210,30610,30610,CACA18,4.7,6,A,Log,NA,3,2,NA,NA,NA,NA,NA,not found,14.7,295.8,12,295.8,2.6,12.8,10.2,NA,NA,NA,NA,NA,NA,NA
361,30622,30622,FAGR,8.8,2.3,A,Snag,NA,NA,NA,NA,NA,NA,32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,LI,P; Q,left tag; woody debris,58.8,202.3,438079.993,135796.797
361,30624,30624,LIST2,3.9,2.2,B,Log,NA,2,1,G,NA,21.3,NA,NA,NA,NA,NA,NA,NA,14,21.3,15.1,DS,NA,NA,53.9,202.2,438075.093,135796.697
361,30624,30624,LIST2,3.9,2.2,A,Snag,F,2,1,NA,6,21.3,32.3,30.9,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,53.9,202.2,438075.093,135796.697
348,30944,30944,FAGR,7.9,8.1,A,Snag,F,3,2,NA,8,NA,13.3,11.9,SP=LITU,NA,NA,NA,NA,NA,NA,NA,DS,RS,NA,37.9,278.1,438059.093,135872.597
393,31065,31066,CAGL8,8.8,6.7,A,Snag,C,1,1,NA,8,NA,10.5,11.3,NA,NA,NA,NA,NA,NA,NA,NA,LI,SEC; L; X,NE,88.8,226.7,438109.993,135821.197
