QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2014,BDS.2021,PIECE.2014,PIECE.2021,INTEG.2021,DECAYCLASSORIG,DECAYCLASS.2021,GC.2021,HEIGHT.2014,HEIGHT.2021,TOPDIAM.2014,TOPDIAM.2021,DBH,DBH.2021,LENGTH.2014,LENGTH.2021,ANGLE,DIRECTION,NOTES.2014
416,40093,,,,,standing dead,,A,,,2,,,10.7,,33.7,,45.8,,,,,,
416,40501,,,,,lying whole,,B,,,2,,,,,,,24.7,,1.5,,,,
416,40501,,,,,lying whole,,C,,,2,,,,,,,26,,0.7,,,,
416,40501,,,,,lying whole,,D,,,2,,,,,,,22.2,,1.2,,,,
416,40501,,,,,lying whole,,E,,,2,,,,,,,21.6,,0.9,,,,
416,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
417,40511,,,,,lying broken,,A,,,2,,,,,,,38.3,,15.2,,,,
417,40501,,,,,lying whole,,A,,,2,,,,,,,32.8,,9,,,,
418,no tag,,,,,lying whole,,A,,,3,,,,,,,17.2,,3.2,,,,
421,40203,,,,,lying cut,,C,,,1,,,,,,,43.8,,2.5,,,,
426,40511,,,,,lying whole,,B,,,2,,,,,,,22.3,,1.8,,,,
426,40093,,,,,standing broken,,B,,,2,,,,,,,33.7,,1.5,,,,
426,40093,,,,,standing broken,,C,,,2,,,,,,,28.9,,5.2,,,,
426,40327,,,,,lying whole,Log,A,A,C,3,4,G,,,,8,12.5,12.1,8.7,8.7,,NE,MISSED IN2017
429,40626,,,,,standing broken,,A,,,2,,,2.3,,19.3,,20.1,,,,,,
429,40626,,,,,standing broken,,B,,,2,,,,,,,19.3,,14.3,,,,
431,40203,,,,,lying cut,,A,,,1,,,1.3,,,,46.5,,,,,,
431,40203,,,,,lying cut,,B,,,1,,,,,,,46.5,,2.3,,,,
431,40203,,,,,lying cut,,D,,,1,,,,,,,39.1,,2,,,,
431,40203,,,,,lying cut,,E,,,1,,,,,,,39.1,,2,,,,
431,40203,,,,,lying cut,,F,,,1,,,,,,,38.9,,2,,,,
431,40203,,,,,lying cut,,G,,,1,,,,,,,38.2,,1.5,,,,
431,40203,,,,,lying cut,,H,,,1,,,,,,,36.1,,10.4,,,,
434,40263,,,,,stump,,A,,,3,,,,,,,,,,,,,
443,40772,,,,,standing broken,,A,,,2,,,13,,31.9,,66,,,,,,
443,40772,,,,,standing broken,,B,,,2,,,,,,,31.9,,4.2,,,,
443,40772,,,,,standing broken,,C,,,2,,,,,,,31.9,,1.2,,,,
444,no tag,,,,,lying whole,,A,,,2,,,,,,,32.6,,5.6,,,,
444,40782,,,,,standing broken,,A,,,2,,,2.5,,,,3.5,,,,,,no top
448,41230,,,,,lying whole,,A,,,2,,,,,,,12.2,,5.5,,,,
456,no tag,,,,,lying whole,,A,,,3,,,,,,,10.9,,2.7,,,,
457,40990,,,,,lying whole,,A,,,3,,,,,,,31.6,,10.3,,,,
458,40997,,,,,standing dead,,A,,,3,,,,,,,17.7,,,,,,
458,41306,,,,,stump,,A,,,3,,,,,,,,,,,,,
458,no tag,,,,,lying whole,,A,,,3,,,,,,,20.2,,10.4,,,,
459,41135,,,,,standing broken,,D,,,2,,,,,,,23.2,,1.3,,,,
461,no tag,,,,,lying whole,,A,,,3,,,,,,,55.8,,18.3,,,,
461,40857,,,,,standing broken,,A,,,1,,,,,,,20,,9.1,,,,
462,40862,,,,,standing broken,,A,,,1,,,,,,,34.6,,16.1,,,,
463,41657,,,,,standing broken,,C,,,2,,,,,,,33.4,,2.7,,,,
463,40866,,,,,standing broken,,A,,,1,,,,,,,58.8,,16.5,,,,
464,no tag,,,,,lying whole,,A,,,3,,,,,,,49,,12,,,,
465,41106,,,,,standing dead,,A,,,3,,,2.4,,,,21.8,,,,,,no top
467,no tag,,,,,lying whole,,A,,,3,,,,,,,21.3,,15.2,,,,
468,41135,,,,,standing broken,,A,,,2,,,5,,35.8,,45.6,,,,,,
468,41135,,,,,standing broken,,B,,,2,,,,,,,35.8,,4.3,,,,
469,no tag,,,,,lying whole,,A,,,3,,,,,,,43,,10.7,,,,
469,no tag,,,,,lying whole,,A,,,3,,,,,,,37,,24.5,,,,
469,41135,,,,,standing broken,,C,,,2,,,,,,,29,,5,,,,
473,41017,,,,,lying whole,,A,,,2,,,,,,,31.6,,23.2,,,,
474,no tag,,,,,lying whole,,A,,,2,,,,,,,10,,6.3,,,,
475,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
476,41067,,,,,lying whole,,A,,,2,,,,,,,24.3,,12.5,,,,
477,41077,,,,,lying whole,,A,,,3,,,,,,,28.3,,5.4,,,,
477,41075,,,,,lying whole,,A,,,3,,,,,,,32.2,,11.8,,,,
478,no tag,,,,,lying whole,,A,,,3,,,,,,,20,,7.1,,,,
478,41083,,,,,standing broken,,A,,,1,,,,,,,3.5,,3.5,,,,
478,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
482,41634,,,,,standing broken,,A,,,2,,,12,,18.1,,26.1,,,,,,
482,41634,,,,,standing broken,,B,,,2,,,,,,,18.1,,7.1,,,,
