"","X","PIECETAG","STEMTAG","QUADNAME","QX.x","QY.x","SPCODE","BDS.2014","BDS.2017","BDS.2021","DC.2014","DC.2017","DC.2021","TOPDIAM.2014","TOPDIAM.2017","TOPDIAM.2021","DBH.2014","DBH.x","DBH.2017","DBH.y","DBH.2019","DBH.2021","LENGTH.2014","LENGTH.2017","LENGTH.2021","HEIGHT.2014","HEIGHT.2017","HEIGHT.2021","BDS.2014_new","BDS.2017_new","BDS.2021_new","DC.2017_3","DC.2021_3"
"407",407,"162693A",162693,1689,0.8,3.7,"FAGR","standing dead","Consumed",NA,2,NA,NA,NA,NA,NA,11.9,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag","consumed",NA,NA,NA
"408",408,"162695A",162695,1689,NA,NA,"FAGR","standing dead",NA,NA,2,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"409",409,"162696A",162696,1689,1.1,9.9,"ACRU","standing dead","NF",NA,2,NA,NA,NA,NA,NA,28.5,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag","NF",NA,NA,NA
"410",410,"162706A",162706,1679,9.8,6.4,"ACRU","standing dead","Consumed",NA,2,NA,NA,NA,NA,NA,23.2,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag","consumed",NA,NA,NA
"411",411,"162707A",162707,1689,NA,NA,"ULAM","standing dead",NA,NA,2,NA,NA,NA,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"412",412,"162752A",162752,1669,1.4,5.8,"PLOC","standing broken","Snag","Snag",3,4,4,NA,NA,NA,74.4,75.7,67.5,65,NA,NA,NA,NA,NA,4,4,NA,"snag","snag","snag",2,2
"413",413,"162765A",162765,161010,3.8,1.5,"UNKN","standing broken","NF","Log",3,NA,3,NA,NA,NA,NA,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag","NF","log",NA,2
"414",414,"162770A",162770,16810,NA,NA,"ACRU","standing dead",NA,NA,2,NA,NA,NA,NA,NA,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"415",415,"162771A",162771,16810,6.8,7,"ACRU","standing dead","Snag",NA,2,4,NA,NA,NA,NA,53.4,52.4,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,"snag","snag",NA,2,NA
"416",416,"162785A",162785,16310,NA,NA,"UNKN","standing broken",NA,NA,3,NA,NA,52.5,NA,NA,54.7,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"snag",NA,NA,NA,NA
"417",417,"162785B",162785,16310,NA,NA,"UNKN","standing broken",NA,NA,3,NA,NA,NA,NA,NA,52.5,NA,NA,NA,NA,NA,18.1,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"418",418,"162787A",162787,16210,NA,NA,"PLOC","stump",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419",419,"163184A",163184,1642,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"420",420,"20006A",20006,211,NA,NA,"QURU","lying whole",NA,NA,2,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"421",421,"20109A",20109,222,NA,NA,"QURU","lying whole",NA,NA,2,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"422",422,"20132B",20132,224,NA,NA,"FAGR","standing broken",NA,NA,2,NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"423",423,"20132A",20132,224,NA,NA,"FAGR","standing broken",NA,NA,2,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,"snag",NA,NA,NA,NA
"424",424,"20145A",20145,226,8.8,4.1,"LIST2","standing broken","Log",NA,1,4,5,32.3,NA,NA,49.2,49,NA,NA,NA,NA,NA,9,NA,7,NA,NA,"snag","log",NA,2,3
"425",425,"20145B",20145,226,NA,NA,"LIST2","standing broken",NA,NA,1,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,16.2,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"426",426,"20180A",20180,229,NA,NA,"CACA18","standing broken",NA,NA,2,NA,NA,7.5,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,"snag",NA,NA,NA,NA
"427",427,"20180B",20180,229,NA,NA,"CACA18","standing broken",NA,NA,2,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
